Test ID;Return code validation;Out result;StdErr result;File creation result;Global result
Tests/01.NoArgument;Ok;Non testé;Ok;Echec;Echec
Tests/02.FichierInexistant;Ok;Non testé;Ok;Echec;Echec
Tests/03.FichierExistant;Ok;Non testé;Non testé;Echec;Echec
Tests/04.Affichage;Echec;Echec;Non testé;Echec;Echec
Tests/05.DoubleDeclaration;Ok;Non testé;Echec;Echec;Echec
Tests/06.1.AnalyseStatique;Echec;Non testé;Echec;Echec;Echec
Tests/06.2.AnalyseStatique;Echec;Non testé;Echec;Echec;Echec
Tests/06.3.AnalyseStatique;Echec;Non testé;Echec;Echec;Echec
Tests/06.4.AnalyseStatique;Echec;Non testé;Echec;Echec;Echec
Tests/07.Execution;Echec;Echec;Non testé;Echec;Echec
Tests/08.1.Optimisation;Echec;Echec;Non testé;Echec;Echec
Tests/08.2.Optimisation;Echec;Echec;Non testé;Echec;Echec
Tests/09.ErreurLexicale;Echec;Non testé;Echec;Echec;Echec
Tests/10.ErreurSyntaxique;Ok;Non testé;Echec;Echec;Echec
